Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-up) [TeVcm^(-2)s^(-1)]
2092439.723222504 	 3.076638534e-13 	                  3.924927643e-14 	                  9.197037552e-13
2141426.670964288 	 3.078927555e-13 	                  3.882694976e-14 	                  9.261152961e-13
2191560.471837578 	 3.081218279e-13 	                  3.840719157e-14 	                  9.325911453e-13
2242867.975282184 	 3.083510707e-13 	                  3.799120584e-14 	                  9.391122768e-13
2295376.659320957 	 3.085804841e-13 	                  3.757841003e-14 	                  9.456876718e-13
2349114.645275796 	 3.088100682e-13 	                  3.717009948e-14 	                  9.524572295e-13
2404110.712828156 	 3.090398231e-13 	                  3.676622545e-14 	                  9.593488700e-13
2460394.315432203 	 3.092697489e-13 	                  3.636673974e-14 	                  9.662915894e-13
2517995.596088756 	 3.094998458e-13 	                  3.597159466e-14 	                  9.734045295e-13
2576945.403488549 	 3.097301139e-13 	                  3.558074306e-14 	                  9.806638400e-13
2637275.308533418 	 3.099605533e-13 	                  3.519413828e-14 	                  9.879966075e-13
2699017.621244275 	 3.101911642e-13 	                  3.481173419e-14 	                  9.954221882e-13
2762205.408064933 	 3.104219466e-13 	                  3.443348512e-14 	                  1.003044872e-12
2826872.509570997 	 3.106529008e-13 	                  3.405934595e-14 	                  1.010747115e-12
2893053.558593414 	 3.108840267e-13 	                  3.368927200e-14 	                  1.018566626e-12
2960783.998766262 	 3.111153246e-13 	                  3.332267625e-14 	                  1.026560561e-12
3030100.103508769 	 3.113467946e-13 	                  3.295842512e-14 	                  1.034655330e-12
3101038.995451787 	 3.115784369e-13 	                  3.259815563e-14 	                  1.042837943e-12
3173638.666318998 	 3.118102514e-13 	                  3.223978671e-14 	                  1.051277472e-12
3247937.997273604 	 3.120422385e-13 	                  3.188350347e-14 	                  1.059785301e-12
3323976.779741356 	 3.122743981e-13 	                  3.153115753e-14 	                  1.068368273e-12
3401795.736721068 	 3.125067305e-13 	                  3.118210239e-14 	                  1.077062585e-12
3481436.544594067 	 3.127392357e-13 	                  3.083688395e-14 	                  1.085917374e-12
3562941.855444177 	 3.129719139e-13 	                  3.049548743e-14 	                  1.094933098e-12
3646355.319900328 	 3.132047652e-13 	                  3.015787054e-14 	                  1.104092475e-12
3731721.610513879 	 3.134377897e-13 	                  2.982399141e-14 	                  1.113452321e-12
3819086.445683227 	 3.136709877e-13 	                  2.949380868e-14 	                  1.122919481e-12
3908496.614138602 	 3.139043591e-13 	                  2.916728141e-14 	                  1.132626441e-12
4000000.000000001 	 3.141379041e-13 	                  2.884436914e-14 	                  1.142479893e-12
