Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
4555.156677053 	 8.232112638e-12 	                  3.326643806e-12 	                  1.372820911e-11
4608.169498293 	 8.119077059e-12 	                  3.261712286e-12 	                  1.355765485e-11
4661.799281673 	 8.007593577e-12 	                  3.198048141e-12 	                  1.338969265e-11
4716.053207387 	 7.897640881e-12 	                  3.135626632e-12 	                  1.322440055e-11
4770.938539191 	 7.789197952e-12 	                  3.074190912e-12 	                  1.306136740e-11
4826.462625376 	 7.682244058e-12 	                  3.013841482e-12 	                  1.290047921e-11
4882.632899753 	 7.576758753e-12 	                  2.954676771e-12 	                  1.274236851e-11
4939.456882646 	 7.472721873e-12 	                  2.896673522e-12 	                  1.258638381e-11
4996.942181902 	 7.370113530e-12 	                  2.839808935e-12 	                  1.243234082e-11
5055.096493908 	 7.268914106e-12 	                  2.784060656e-12 	                  1.228025770e-11
5113.927604620 	 7.169104258e-12 	                  2.729406772e-12 	                  1.213073160e-11
5173.443390609 	 7.070664903e-12 	                  2.675592603e-12 	                  1.198330247e-11
5233.651820110 	 6.973577225e-12 	                  2.622782036e-12 	                  1.183800741e-11
5294.560954096 	 6.877822663e-12 	                  2.571013839e-12 	                  1.169482854e-11
5356.178947351 	 6.783382912e-12 	                  2.520267437e-12 	                  1.155345548e-11
5418.514049564 	 6.690239918e-12 	                  2.470522662e-12 	                  1.141379141e-11
5481.574606436 	 6.598375876e-12 	                  2.421759744e-12 	                  1.127599819e-11
5545.369060793 	 6.507773223e-12 	                  2.373959304e-12 	                  1.114045776e-11
5609.905953718 	 6.418414641e-12 	                  2.327102344e-12 	                  1.100707018e-11
5675.193925698 	 6.330283046e-12 	                  2.280994371e-12 	                  1.087569444e-11
5741.241717774 	 6.243361591e-12 	                  2.235741682e-12 	                  1.074603851e-11
5808.058172719 	 6.157633659e-12 	                  2.191386762e-12 	                  1.061821228e-11
5875.652236214 	 6.073082861e-12 	                  2.147911800e-12 	                  1.049228982e-11
5944.032958052 	 5.989693036e-12 	                  2.105299339e-12 	                  1.036827610e-11
6013.209493348 	 5.907448240e-12 	                  2.063532267e-12 	                  1.024595225e-11
6083.191103761 	 5.826332752e-12 	                  2.022593812e-12 	                  1.012529340e-11
6153.987158741 	 5.746331065e-12 	                  1.982467537e-12 	                  1.000662416e-11
6225.607136776 	 5.667427886e-12 	                  1.943137327e-12 	                  9.889446176e-12
6298.060626666 	 5.589608130e-12 	                  1.904504782e-12 	                  9.773679009e-12
6371.357328805 	 5.512856922e-12 	                  1.866540000e-12 	                  9.659966118e-12
